timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 15:01:14,794",56,264,fastrp-het,mil_attention,0.4957,64,,"[0,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:01:25,840",57,264,fastrp-het,mean_pool,0.4756,64,,"[0,0,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:01:36,958",58,264,fastrp-het,global_attention,0.48,64,,"[0,0,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:01:48,055",59,264,fastrp-het,set2set,0.4978,64,,"[0,0,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:01:58,220",60,264,fastrp-het,mil_attention,0.4761,64,,"[0,0,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:02:10,168",61,264,fastrp-het,mean_pool,0.4763,64,,"[0,0,0,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:02:21,172",62,264,fastrp-het,global_attention,0.4694,64,,"[0,0,0,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:02:31,348",63,264,fastrp-het,set2set,0.4967,64,,"[0,0,0,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:02:42,413",64,264,fastrp-het,mil_attention,0.4726,64,,"[0,0,0,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:02:53,437",65,264,fastrp-het,mean_pool,0.476,64,,"[0,0,0,0,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:04,536",66,264,fastrp-het,global_attention,0.4594,64,,"[0,0,0,0,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:14,782",67,264,fastrp-het,set2set,0.5181,64,,"[0,0,0,0,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:25,960",68,264,fastrp-het,mil_attention,0.4842,64,,"[0,0,0,0,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:37,022",69,264,fastrp-het,mean_pool,0.4761,64,,"[0,0,0,0,0,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:47,262",70,264,fastrp-het,global_attention,0.4599,64,,"[0,0,0,0,0,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:03:57,521",71,264,fastrp-het,set2set,0.521,64,,"[0,0,0,0,0,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:04:08,557",72,264,fastrp-het,mil_attention,0.4582,64,,"[0,0,0,0,0,1,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:04:19,494",73,264,fastrp-het,mean_pool,0.4771,64,,"[0,0,0,0,0,0,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:04:30,533",74,264,fastrp-het,global_attention,0.4847,64,,"[0,0,0,0,0,0,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:04:41,709",75,264,fastrp-het,set2set,0.43,64,,"[0,0,0,0,0,0,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:04:51,820",76,264,fastrp-het,mil_attention,0.4435,64,,"[0,0,0,0,0,0,1,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:05:03,658",77,264,fastrp-het,mean_pool,0.4761,64,,"[0,0,0,0,0,0,0,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:05:14,695",78,264,fastrp-het,global_attention,0.4909,64,,"[0,0,0,0,0,0,0,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:05:24,839",79,264,fastrp-het,set2set,0.5197,64,,"[0,0,0,0,0,0,0,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:05:35,916",80,264,fastrp-het,mil_attention,0.4994,64,,"[0,0,0,0,0,0,0,1,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:05:46,906",81,264,fastrp-het,mean_pool,0.4758,64,,"[0,0,0,0,0,0,0,0,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:05:57,957",82,264,fastrp-het,global_attention,0.4742,64,,"[0,0,0,0,0,0,0,0,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:06:08,189",83,264,fastrp-het,set2set,0.4831,64,,"[0,0,0,0,0,0,0,0,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:06:19,352",84,264,fastrp-het,mil_attention,0.4849,64,,"[0,0,0,0,0,0,0,0,1,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:06:30,324",85,264,fastrp-het,mean_pool,0.4758,64,,"[0,0,0,0,0,0,0,0,0,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:06:40,597",86,264,fastrp-het,global_attention,0.4579,64,,"[0,0,0,0,0,0,0,0,0,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:06:50,926",87,264,fastrp-het,set2set,0.5469,64,,"[0,0,0,0,0,0,0,0,0,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:07:02,055",88,264,fastrp-het,mil_attention,0.4516,64,,"[0,0,0,0,0,0,0,0,0,1]","{'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
