timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 15:18:44,163",101,528,fastrp,mean_pool,0.503,128,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:18:56,385",102,528,fastrp,global_attention,0.5263,128,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:19:09,349",103,528,fastrp,set2set,0.4639,128,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:19:21,789",104,528,fastrp,mil_attention,0.5349,128,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:19:34,956",105,528,fastrp,mean_pool,0.5027,128,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:19:47,937",106,528,fastrp,global_attention,0.4872,128,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:20:00,345",107,528,fastrp,set2set,0.5229,128,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:20:12,673",108,528,fastrp,mil_attention,0.4613,128,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:20:26,162",109,528,fastrp,mean_pool,0.5022,128,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:20:38,436",110,528,fastrp,global_attention,0.5093,128,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:20:50,744",111,528,fastrp,set2set,0.5156,128,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:21:03,708",112,528,fastrp,mil_attention,0.4909,128,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:21:17,419",113,528,fastrp,mean_pool,0.5008,128,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:21:29,860",114,528,fastrp,global_attention,0.4998,128,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:21:42,304",115,528,fastrp,set2set,0.5001,128,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:21:55,210",116,528,fastrp,mil_attention,0.5273,128,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:22:08,387",117,528,fastrp,mean_pool,0.4994,128,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:22:20,790",118,528,fastrp,global_attention,0.5098,128,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:22:33,790",119,528,fastrp,set2set,0.5128,128,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:22:46,195",120,528,fastrp,mil_attention,0.4706,128,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:22:59,412",121,528,fastrp,mean_pool,0.4977,128,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:23:12,370",122,528,fastrp,global_attention,0.4801,128,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
